typeClass,disorder,medicine,symptom1,symptom2,symptom3,symptom4,symptom5,symptom6,symptom7,symptom8,symptom9,symptom10,symptom11,symptom12,symptom13,symptom14,symptom15,symptom16,symptom17,symptom18,symptom19,symptom20,symptom21,symptom22,symptom23,symptom24,symptom25,symptom26,symptom27,symptom28,symptom29,symptom30,symptom31,symptom32,symptom33,symptom34,symptom35,symptom36,symptom37,symptom38,symptom39,symptom40,symptom41,symptom42,symptom43,symptom44,symptom45,symptom46,symptom47,symptom48,symptom49,symptom50,symptom51,symptom52,symptom53,symptom54,symptom55,symptom56,symptom57,symptom58,symptom59,symptom60,symptom61,symptom62,symptom63,symptom64,symptom65,symptom66,symptom67,symptom68,symptom69,symptom70,symptom71,symptom72,symptom73,symptom74,symptom75,symptom76
0,Cardinal_Presentations_Vascular_Back_Pain_,"Blood_transfusion,_early_surgical_consultation_for_repair
Blood_pressure_control_and_heart_rate_management,_early_surgical_consultation_for_repair
Early_spine_surgical_consultation_for_evacuation_of_blood",Abdominal_aortic_aneurysm,Acute_coronary_syndromes,Acute_vaso-occlusive_crisis,Cardiac_tamponade,Severe_aortic_insufficiency/regurgitation,Thoracic_aortic_dissection,Pulmonary_embolism,Renal_artery_dissection_or_thrombosis,Retroperitoneal_hematoma,Spinal/epidural_hematoma,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,Cardinal_Presentations_Infectious_Back_Pain_,"Empiric_Gram-positive_(vancomycin)_and_Gram-negative_(cefepime,_ceftazidime)_antibiotic_coverage,_early_spine_consultation_for_aspiration_vs._surgical_decompression",Discitis,Epidural_abscess,Meningitis,Osteomyelitis,Pelvic_inflammatory_disease,Pericarditis,Pneumonia,Prostatitis,Pyelonephritis,Tuberculosis_(Pott?s_disease),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,Cardinal_Presentations_Mechanical_Back_Pain_,"Spinal_immobilization_and_precautions,_early_spine_consultation_for_potential_operative_repair
Corticosteroids,_early_spine_consultation_for_decompression
Early_spine_consultation_for_operative_repair",Cauda_equina_(from_disc_herniation_or_fracture),Disc_herniation,Ectopic_pregnancy,Lumbar_radiculopathy,Metastatic_cancer,Piriformis_syndrome,Pneumothorax,Pneumomediastinum,Scoliosis,Spinal_stenosis,Syringomyelia,Traumatic_or_pathologic_vertebral_fracture,Ureteral_calculus,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,Chest_Pain,"All_patients
Address_airway,_breathing,_and_circulation.
Start_an_intravenous_line,_oxygen_to_maintain_oxygen_saturation_(SpO2)_>92%,_and_start_cardiac_monitoring.
Administer_aspirin_in_most_patients_with_chest_pain.
Aspirin_162-325_mg_orally_chewed._Aspirin_should_be_a_chewable_formulation._Use_600_mg_rectally_if_oral_route_is_not_feasible._If_the_patient_is_unable_to_tolerate_aspirin,_clopidogrel_75_mg_by_mouth_is_an_alternative.
Nitroglycerin_0.4_mg_sublingual_q5_minutes_?_3_as_needed_for_chest_pain;_add_intravenous_nitroglycerin_for_persistent_systems._Hold_for_hypotension_or_phosphodiesterase_inhibitors._Be_cautious_for_hypotension_in_inferior_MI.
See_chapter:_Acute_Coronary_Syndromes
Other_specific_treatments
Pulmonary_embolism_is_treated_with_anticoagulation_or_fibrinolysis.
Aortic_dissection_requires_heart_rate_and_blood_pressure_control_and_surgical_consultation.
Esophageal_rupture_is_treated_with_intravenous_antibiotics,_nothing-by-mouth_status,_proton_pump_inhibitors_followed_by_surgery.
Tension_pneumothorax_is_treated_with_finger_decompression_while_preparing_for_ED_thoracostomy.
Pericardial_tamponade_requires_pericardiocentesis._If_the_patient_is_too_hemodynamically_unstable_to_be_transferred_for_catheter_pericardiocentesis_in_the_catheterization_lab,_ultrasound-guided_pericardiocentesis_should_be_performed_in_the_ED.","Acute_Coronary_Syndromes
Aortic_Dissection
Acute_Myopericardial_Syndromes",Esophageal_Rupture,Pericardial_Tamponade,Pulmonary_Embolism,Tension_Pneumothorax,ED_Vital_Signs_with_Pulse_Ox,Cardiac_Monitor,Peripheral_intravenous_line,Oxygen:_Nasal_cannula_as_needed_sat_<90%,ECG_STAT,Chest_X-ray_1_view_STAT,Complete_blood_count,Comprehensive_metabolic_panel,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,Generalized_Weakness,"Approach_to_the_Critical_Patient
Place_the_patient_on_a_cardiac_monitor_and_continuous_pulse_oximetry.
Secure_intravenous_access.
Obtain_point-of-care_glucose.
AIRWAY
Have_advanced_airway_equipment_at_the_bedside.
Consider_reversible_conditions_(hypoglycemia_and_opioid_toxicity)_before_intubation.
Factors_to_consider_in_the_decision_to_intubate:
Increasing_generalized_muscle_weakness
Dysphagia_or_dysphonia
Dyspnea_on_exertion_and_at_rest_or_orthopnea
Rapid,_shallow_breathing
Weak_cough
Interrupted_speech_(gasping_for_air)
Use_of_accessory_muscles
Paradoxical_(abdominal)_breathing
Weakness_of_trapezius/neck_muscles:_inability_to_lift_head_from_bed
Cough_after_swallowing
Decreased_level_of_consciousness
Have_a_lower_threshold_to_control_the_airway_if_the_patient_requires_transfer_or_movement_to_unmonitored_areas.
Hypoxemia_or_hypercapnia_(occurs_late)
A_negative_inspiratory_force_greater_than_?20_cm_H2O
A_non-depolarizing_paralytic_(eg,_rocuronium)_is_recommended_for_rapid_sequence_intubation_in_undifferentiated_patients,_or_if_hyperkalemia_is_likely_(eg,_renal_failure,_heat_stroke,_chronic_neuromuscular_disease).",Stroke,Intracranial_hemorrhage,Botulism,Myasthenia_gravis_crisis,Guillain-Barr_syndrome,Transverse_myelitis,Spinal_cord_syndromes,Postictal_(Todd)_paralysis,Amyotrophic_lateral_sclerosis,Porphyria,Myocardial_infarction,Dysrhythmia,Sepsis,Hypoglycemia,Poisoning,Anemia,Dehydration,Electrolyte_derangements,Endocrinopathies,Infection,Physical_fatigue,Rheumatologic_disorders,Psychiatric_disorders,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,Cerebral_artery_dissection_,"Antiplatelet_or
Antithrombotic_agents",Neck_pain,Neck_trauma_(not_always),Posterior_stroke_symptoms_-_dizziness,vertigo,coordination_(VAD),Anterior_stroke_symptoms_-_hemiplegia,slurred_speech,ptosis,miosis_(CAD),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,Giant_cell_arteritis,"Vision_loss:_Methylprednisolone_1000_mg/day_IV_for_1-3_days_in_patients_with_vision_loss_followed_by_PO_prednisone_40_mg/day
No_vision_loss_but_suspicion:_40_-_60_mg_PO_prednisone_with_urgent_follow_up
